"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
20200906,"WA","B",1953,1953,0,,6842,6842,282,-6,,,1473641,15886,,,,,34,,76836,76836,501,0,,,,,,,1550477,16387,1550477,16387,,,,,,0,,0
20200905,"WA","B",1953,1953,8,,6848,6848,293,14,,,1457755,15522,,,,,48,,76335,76335,479,0,,,,,,,1534090,16001,1534090,16001,,,,,,0,,0
20200904,"WA","B",1945,1945,10,,6834,6834,309,39,,,1442233,21257,,,,,50,,75856,75856,479,0,,,,,,,1518089,21736,1518089,21736,,,,,,0,,0
20200903,"WA","B",1935,1935,4,,6795,6795,311,8,,,1420976,15876,,,,,65,,75377,75377,438,0,,,,,,,1496353,16314,1496353,16314,,,,,,0,,0
20200902,"WA","B",1931,1931,16,,6787,6787,328,24,,,1405100,6490,,,,,48,,74939,74939,304,0,,,,,,,1480039,6794,1480039,6794,,,,,,0,,0
20200901,"WA","B",1915,1915,10,,6763,6763,331,23,,,1398610,11576,,,,,49,,74635,74635,315,0,,,,,,,1473245,11891,1473245,11891,,,,,,0,,0
20200831,"WA","B",1905,1905,0,,6740,6740,340,0,,,1387034,0,,,,,51,,74320,74320,0,0,,,,,,,1461354,0,1461354,0,,,,,,0,,0
20200830,"WA","B",1905,1905,0,,6740,6740,340,61,,,1387034,36564,,,,,51,,74320,74320,1019,0,,,,,,,1461354,37583,1461354,37583,,,,,,0,,0
20200829,"WA","B",1905,1905,15,,6679,6679,346,5,,,1350470,15009,,,,,46,,73301,73301,598,0,,,,,,,1423771,15607,1423771,15607,,,,,,0,,0
20200828,"WA","B",1890,1890,10,,6674,6674,347,34,,,1335461,16313,,,,,45,,72703,72703,542,0,,,,,,,1408164,16855,1408164,16855,,,,,,0,,0
20200827,"WA","B",1880,1880,4,,6640,6640,351,45,,,1319148,10749,,,,,37,,72161,72161,456,0,,,,,,,1391309,11205,1391309,11205,,,,,,0,,0
20200826,"WA","B",1876,1876,9,,6595,6595,358,53,,,1308399,30,,,,,47,,71705,71705,24,0,,,,,,,1380104,54,1380104,54,,,,,,0,,0
20200825,"WA","B",1867,1867,4,,6542,6542,354,12,,,1308369,0,,,,,37,,71681,71681,0,0,,,,,,,1380050,0,1380050,0,,,,,,0,,0
20200824,"WA","B",1863,1863,6,,6530,6530,373,30,,,1308369,992,,,,,36,,71681,71681,22,0,,,,,,,1380050,1014,1380050,1014,,,,,,0,,0
20200823,"WA","B",1857,1857,7,,6500,6500,371,31,,,1307377,2442,,,,,42,,71659,71659,61,0,,,,,,,1379036,2503,1379036,2503,,,,,,0,,0
20200822,"WA","B",1850,1850,13,,6469,6469,371,69,,,1304935,7085,,,,,45,,71598,71598,184,0,,,,,,,1376533,7269,1376533,7269,,,,,,0,,0
20200821,"WA","B",1837,1837,15,,6400,6400,374,12,,,1297850,11955,,,,,48,,71414,71414,441,0,,,,,,,1369264,12396,1369264,12396,,,,,,0,,0
20200820,"WA","B",1822,1822,13,,6388,6388,385,30,,,1285895,12382,,,,,44,,70973,70973,443,0,,,,,,,1356868,12825,1356868,12825,,,,,,0,,0
20200819,"WA","B",1809,1809,24,,6358,6358,375,62,,,1273513,14264,,,,,43,,70530,70530,563,0,,,,,,,1344043,14827,1344043,14827,,,,,,0,,0
20200818,"WA","B",1785,1785,4,,6296,6296,394,41,,,1259249,14503,,,,,39,,69967,69967,598,0,,,,,,,1329216,15101,1329216,15101,,,,,,0,,0
20200817,"WA","B",1781,1781,15,,6255,6255,391,25,,,1244746,15547,,,,,43,,69369,69369,640,0,,,,,,,1314115,16187,1314115,16187,,,,,,0,,0
20200816,"WA","B",1766,1766,11,,6230,6230,395,24,,,1229199,4801,,,,,55,,68729,68729,150,0,,,,,,,1297928,4951,1297928,4951,,,,,,0,,0
20200815,"WA","B",1755,1755,19,,6206,6206,390,24,,,1224398,8491,,,,,58,,68579,68579,345,0,,,,,,,1292977,8836,1292977,8836,,,,,,0,,0
20200814,"WA","B",1736,1736,12,,6182,6182,403,45,,,1215907,13887,,,,,58,,68234,68234,623,0,,,,,,,1284141,14510,1284141,14510,,,,,,0,,0
20200813,"WA","B",1724,1724,8,,6137,6137,395,35,,,1202020,14511,,,,,40,,67611,67611,606,0,,,,,,,1269631,15117,1269631,15117,,,,,,0,,0
20200812,"WA","B",1716,1716,19,,6102,6102,383,53,,,1187509,16011,,,,,59,,67005,67005,601,0,,,,,,,1254514,16612,1254514,16612,,,,,,0,,0
20200811,"WA","B",1697,1697,9,,6049,6049,386,48,,,1171498,15268,,,,,35,,66404,66404,683,0,,,,,,,1237902,15951,1237902,15951,,,,,,0,,0
20200810,"WA","B",1688,1688,0,,6001,6001,402,105,,,1156230,18151,,,,,49,,65721,65721,803,0,,,,,,,1221951,18954,1221951,18954,,,,,,0,,0
